umidade,pH,temperatura,irrigacao,fertilizante,produtividade
33,7.22,24,14,10,51.58
35,5.71,27,19,10,68.74
57,6.72,22,16,9,60.95
20,6.47,26,18,9,56.46
52,7.24,29,12,2,46.97
58,6.5,30,20,5,71.7
47,7.07,29,9,10,57.36
42,6.18,31,10,10,54.48
44,6.0,28,14,4,57.99
31,5.68,25,6,9,28.96
33,6.52,26,10,3,43.18
56,7.48,32,14,6,51.59
34,6.68,20,15,7,50.83
49,6.71,31,9,8,50.56
44,6.96,24,17,3,58.29
48,6.44,21,20,4,58.64
53,7.19,28,11,9,56.8
24,6.65,20,19,8,55.64
36,7.06,26,15,6,51.95
21,6.55,31,5,4,25.32
58,7.1,23,12,3,52.02
28,7.46,29,17,3,44.06
39,7.07,26,7,6,41.45
31,6.85,32,18,5,50.42
41,7.09,28,19,4,62.74
26,6.01,24,7,6,25.63
52,6.16,35,11,4,41.45
43,6.63,35,20,8,68.65
52,5.89,22,20,8,66.13
22,5.92,25,10,5,32.5
58,5.84,35,10,2,37.0
41,5.98,33,6,9,36.68
60,6.43,28,9,7,60.49
57,6.8,21,8,4,37.19
49,5.89,21,14,3,47.97
36,6.2,28,18,5,56.85
57,6.02,34,17,7,59.66
46,6.14,29,18,7,62.23
41,5.59,31,9,5,37.97
35,6.36,21,11,7,43.89
48,6.67,21,14,6,52.69
58,5.55,32,5,6,37.99
60,6.46,22,6,6,39.46
60,6.38,34,10,3,47.32
44,5.85,29,5,5,35.13
45,6.25,20,17,10,58.1
54,5.93,21,14,8,51.16
37,7.19,30,6,5,33.21
39,5.92,29,13,5,45.17
55,5.67,26,9,3,42.19
23,5.7,28,18,8,58.35
28,5.73,34,20,5,54.79
59,6.27,20,8,2,32.91
21,5.54,27,11,6,34.35
49,5.52,31,20,6,60.24
51,7.02,23,7,4,41.37
51,5.6,31,9,8,47.9
25,6.83,31,8,5,35.54
31,6.49,29,18,7,59.24
60,7.14,30,14,3,58.05
30,7.22,31,20,9,57.9
32,6.7,35,17,5,52.47
33,5.97,20,5,7,27.73
52,7.15,30,10,10,53.46
59,7.31,24,16,3,55.67
27,7.36,30,6,8,27.17
37,6.57,28,9,4,39.91
28,6.53,27,13,7,44.24
55,6.83,31,5,8,48.48
40,7.35,30,20,8,61.34
32,6.38,26,7,2,32.16
42,6.29,27,16,8,65.43
46,7.01,24,17,10,68.91
42,5.85,31,13,10,58.57
57,7.13,29,11,2,48.64
57,6.24,28,7,2,41.72
56,7.03,29,16,8,65.84
55,7.45,30,18,6,67.78
45,7.34,22,17,2,51.54
24,6.91,33,8,7,33.77
27,6.7,29,6,5,28.25
33,6.48,25,6,6,38.07
35,6.48,27,18,4,55.47
52,6.19,22,8,8,46.53
43,6.09,23,9,7,46.21
59,6.69,30,19,2,63.32
55,6.19,24,11,2,47.48
52,6.49,34,6,6,35.23
58,7.12,33,10,9,54.78
51,6.87,29,11,8,61.07
42,7.48,35,19,9,55.72
37,6.11,29,10,5,38.1
52,5.8,32,8,4,41.01
58,5.83,24,16,7,66.23
48,6.23,24,17,4,58.01
49,6.6,24,7,4,38.72
49,5.79,23,18,5,61.08
39,7.09,29,15,10,64.18
33,6.61,34,14,8,49.36
20,6.04,32,17,7,50.42
30,6.92,23,14,7,44.48
32,7.23,35,15,9,44.24
46,6.8,33,19,6,64.6
27,7.19,35,20,4,44.33
56,6.32,34,6,3,33.73
36,6.14,32,14,6,50.55
26,5.68,25,11,2,26.78
52,6.49,32,14,4,52.6
23,7.14,29,7,6,31.62
21,6.26,35,20,8,56.81
26,6.99,27,6,5,27.86
29,6.02,24,9,2,23.51
58,7.48,25,18,3,56.24
34,5.66,33,11,7,37.99
39,6.16,35,18,10,60.07
28,6.02,34,18,6,49.22
45,6.45,22,5,8,39.2
60,6.26,32,13,8,65.46
39,6.49,28,9,8,45.8
33,6.67,27,17,6,57.78
51,6.99,35,16,8,63.25
35,7.37,21,14,9,47.9
41,7.03,25,12,2,43.0
59,6.85,24,8,6,47.34
38,6.37,30,5,10,43.51
56,7.48,23,17,9,63.21
51,6.27,34,17,4,54.17
45,5.79,34,19,9,66.39
56,5.52,33,15,6,55.73
